tconst,name,year,mz,my,mx,fz,fy,fx,a10,a9,a8,a7,a6,a5,a4,a3,a2,a1,series_name,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes,demo_adj
tt0059753,The Cage,1986,7.7,7.5,7.8,7.3,7.4,7.9,806,507,"1,116","1,002",468,194,66,31,31,41,Star Trek,tt0060028,1,0,7.7,4176,7.538220000000001
tt0061027,Where No Man Has Gone Before,1966,7.8,7.6,7.9,7.6,7.5,8,658,542,"1,157",870,367,132,44,24,16,35,Star Trek,tt0060028,1,3,7.8,3761,7.674359999999999
tt0394903,The Conscience of the King,1966,7.3,7.1,7.3,7.9,7.5,7.6,298,176,495,666,335,126,48,25,23,20,Star Trek,tt0060028,1,13,7.3,2146,7.38988
tt0394904,The Menagerie: Part I,1966,8.5,8.2,8.5,8.3,8.1,8.7,620,649,678,353,116,53,11,14,5,14,Star Trek,tt0060028,1,11,8.4,2441,8.32396
tt0394905,Miri,1966,7,7,7.2,7.5,7.2,7.5,296,180,500,710,375,172,89,55,17,30,Star Trek,tt0060028,1,8,7.1,2360,7.16106
tt0708412,A Piece of the Action,1968,8.2,7.5,8,8.1,8,8.2,436,350,522,332,174,88,39,21,10,20,Star Trek,tt0060028,2,17,7.9,1920,7.94942
tt0708413,A Private Little War,1968,6.9,6.8,7.1,7.3,6.7,7.1,195,105,305,536,287,134,63,31,10,21,Star Trek,tt0060028,2,19,7,1624,6.9364799999999995
tt0708414,A Taste of Armageddon,1967,8.3,8.1,8,8.3,8.1,8.1,409,434,776,374,117,58,13,11,2,12,Star Trek,tt0060028,1,23,8.1,2137,8.115499999999999
tt0708415,All Our Yesterdays,1969,8.4,8,8.4,8.7,8.2,8.6,466,403,498,259,85,43,23,10,3,8,Star Trek,tt0060028,3,23,8.3,1738,8.3266
tt0708416,Amok Time,1967,8.8,8.5,8.8,9,8.9,9,899,735,480,251,89,38,20,10,3,16,Star Trek,tt0060028,2,1,8.7,2463,8.76378
tt0708417,And the Children Shall Lead,1968,4.6,5,5.4,6.1,6,5.8,140,43,117,190,347,322,201,139,110,146,Star Trek,tt0060028,3,4,5.2,1697,5.36444
tt0708418,Arena,1967,8.1,7.9,8.2,8.1,7.6,8.1,490,461,712,387,167,92,31,14,11,14,Star Trek,tt0060028,1,18,8.1,2302,7.95858
tt0708419,Assignment: Earth,1968,7.6,7.3,7.9,7.4,7.6,8.2,358,253,539,359,201,97,41,18,20,32,Star Trek,tt0060028,2,26,7.7,1850,7.575620000000001
tt0708420,Balance of Terror,1966,9,8.8,9,8.9,8.6,8.8,"1,269",870,479,221,77,29,10,5,4,17,Star Trek,tt0060028,1,14,9,2899,8.80972
tt0708421,Bread and Circuses,1968,7.2,7,7.3,8.1,7,7.8,263,140,382,483,222,126,44,26,21,20,Star Trek,tt0060028,2,25,7.3,1664,7.340999999999999
tt0708422,By Any Other Name,1968,7.9,7.6,7.7,7.9,7.7,8,267,208,592,428,128,78,31,10,12,9,Star Trek,tt0060028,2,22,7.7,1698,7.75066
tt0708423,Catspaw,1967,6.1,5.9,6.5,6.9,6.4,6.9,189,73,193,383,477,250,130,76,41,41,Star Trek,tt0060028,2,7,6.3,1784,6.3659
tt0708424,Charlie X,1966,7.1,7.1,7.3,7.3,7.2,7.5,318,189,608,978,460,198,72,45,14,20,Star Trek,tt0060028,1,2,7.2,2826,7.1799
tt0708425,Court Martial,1967,7.6,7.3,7.5,7.9,7.5,7.4,273,196,568,675,232,88,38,15,9,14,Star Trek,tt0060028,1,20,7.5,2045,7.501339999999999
tt0708426,Dagger of the Mind,1966,7.5,7.4,7.6,7.5,7.3,7.5,275,220,678,697,248,90,26,19,12,17,Star Trek,tt0060028,1,9,7.5,2220,7.4207600000000005
tt0708427,Day of the Dove,1968,8.2,7.9,7.9,7.9,7.8,8.2,348,290,566,293,136,47,19,20,5,11,Star Trek,tt0060028,3,7,8,1674,7.9397
