parentTconst,primaryTitle,tconst,seasonNumber,episodeNumber,averageRating,numVotes,directors,writers,z
tt0060028,Star Trek,tt0059753,1,0,7.7,4176,nm0125111,nm0734472,0.27340725510874603
tt0060028,Star Trek,tt0061027,1,3,7.8,3761,nm0326360,"nm0670268,nm0734472",0.3994046438708343
tt0092455,Star Trek: The Next Generation,tt0094030,1,1,7,4400,nm0001904,"nm0734472,nm0284894,nm0868124",-0.6085744662258752
tt0106145,Star Trek: Deep Space Nine,tt0108214,1,1,7.5,2792,nm0141222,"nm0734472,nm0075834,nm0683522",0.02141247758456835
tt0092455,Star Trek: The Next Generation,tt0111281,7,25,8.7,6719,nm0463926,"nm0734472,nm0601822,nm0103804",1.533381142729632
tt0112178,Star Trek: Voyager,tt0114530,1,1,7.4,2703,nm0463926,"nm0734472,nm0075834,nm0683522,nm0852578",-0.10458491117751992
tt0092455,Star Trek: The Next Generation,tt0162905,5,18,9,2285,nm0000408,"nm0734472,nm0103804",1.911373309015899
tt0092455,Star Trek: The Next Generation,tt0170501,5,1,8.4,1624,nm0141222,"nm0734472,nm0601822",1.1553889764433674
tt0244365,Star Trek: Enterprise,tt0286610,1,1,7.6,3396,nm0176702,"nm0734472,nm0075834,nm0103804",0.14740986634665662
tt0060028,Star Trek,tt0394903,1,13,7.3,2146,nm0652631,"nm0873200,nm0734472",-0.2305822999396093
tt0060028,Star Trek,tt0394904,1,11,8.4,2441,"nm0200022,nm0125111",nm0734472,1.1553889764433674
tt0060028,Star Trek,tt0394905,1,8,7.1,2360,nm0568546,"nm0818649,nm0734472",-0.482577077463787
tt0106145,Star Trek: Deep Space Nine,tt0394906,4,1,9,1326,nm0176702,"nm0734472,nm0075834,nm0683522,nm0066985,nm0938129",1.911373309015899
tt0106145,Star Trek: Deep Space Nine,tt0394907,7,25,8.8,1160,nm0471862,"nm0734472,nm0075834,nm0683522,nm0066985,nm0067234",1.6593785314917227
tt0112178,Star Trek: Voyager,tt0394908,3,16,7.3,842,nm0732367,"nm0734472,nm0075834,nm0683522,nm0852578,nm0459822",-0.2305822999396093
tt0112178,Star Trek: Voyager,tt0394909,5,10,7.9,954,nm0484464,"nm0734472,nm0075834,nm0683522,nm0852578,nm0852899",0.5254020326329236
tt0112178,Star Trek: Voyager,tt0394910,5,15,8.4,964,nm0092853,"nm0734472,nm0075834,nm0683522,nm0852578,nm0103804,nm0579775,nm0298188,nm0755986",1.1553889764433674
tt0112178,Star Trek: Voyager,tt0394911,7,25,8.5,1389,nm0471862,"nm0734472,nm0075834,nm0683522,nm0852578,nm0082376,nm1201266,nm0103804",1.2813863652054556
tt0112178,Star Trek: Voyager,tt0394912,7,9,7.6,806,nm0892144,"nm0734472,nm0075834,nm0683522,nm0852578,nm0298188,nm0597443,nm0338249",0.14740986634665662
tt0112178,Star Trek: Voyager,tt0394913,4,18,7.8,938,nm0515237,"nm0734472,nm0075834,nm0683522,nm0852578,nm0103804,nm0579775",0.3994046438708343
tt0112178,Star Trek: Voyager,tt0394914,7,12,7,808,nm0491496,"nm0734472,nm0075834,nm0683522,nm0852578,nm0434851",-0.6085744662258752
tt0112178,Star Trek: Voyager,tt0394915,3,7,5.9,953,nm0000536,"nm0734472,nm0075834,nm0683522,nm0852578,nm0459822,nm1206002",-1.9945457426088506
tt0112178,Star Trek: Voyager,tt0394916,7,16,7.7,796,nm0471862,"nm0734472,nm0075834,nm0683522,nm0852578,nm0082376,nm0298188",0.27340725510874603
tt0244365,Star Trek: Enterprise,tt0572172,2,5,6.8,824,nm0833191,"nm0734472,nm0075834,nm0103804",-0.860569243750053
tt0244365,Star Trek: Enterprise,tt0572173,1,19,7.6,860,nm0926215,"nm0734472,nm0075834,nm0103804,nm0415111,nm0415110",0.14740986634665662
tt0244365,Star Trek: Enterprise,tt0572174,4,15,8.1,686,nm0343687,"nm0734472,nm0075834,nm0103804,nm0839943,nm0182873",0.7773968101571002
tt0244365,Star Trek: Enterprise,tt0572175,3,2,8,718,nm0833191,"nm0734472,nm0075834,nm0103804,nm0839943",0.651399421395012
tt0244365,Star Trek: Enterprise,tt0572176,4,8,8.3,711,nm0206259,"nm0734472,nm0075834,nm0103804,nm0097004",1.029391587681279
tt0244365,Star Trek: Enterprise,tt0572177,3,18,8.7,772,nm0471862,"nm0734472,nm0075834,nm0103804,nm0182873,nm0097004",1.533381142729632
tt0244365,Star Trek: Enterprise,tt0572178,4,12,8.5,713,nm0833191,"nm0734472,nm0075834,nm0103804,nm0839943,nm0097004",1.2813863652054556
tt0244365,Star Trek: Enterprise,tt0572179,4,4,8.1,757,nm0515237,"nm0734472,nm0075834,nm0103804,nm0493855",0.7773968101571002
tt0244365,Star Trek: Enterprise,tt0572180,4,17,7,698,nm0471862,"nm0734472,nm0075834,nm0103804,nm0182873",-0.6085744662258752
tt0244365,Star Trek: Enterprise,tt0572181,2,25,7,679,nm0206259,"nm0734472,nm0075834,nm0103804,nm0864834,nm0839943,nm0835040",-0.6085744662258752
